year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2013,3268.5784,1,1,2,1,3,1,4,1,4,2,3,1,1,3,1,3,1,0,0,2,1
2013,42726.17984,2,3,2,3,4,5,1,1,1,2,3,1,2,0,1,4,2,0,0,2,3
2013,3620.58962,1,2,2,2,3,1,1,0,3,2,2,1,2,0,1,4,2,1,1,2,1
2013,3108.76322,1,1,2,1,6,2,88,1,4,2,4,1,2,0,1,4,2,0,0,2,1
2013,4286.54453,1,2,2,2,6,88,88,5,1,1,4,2,3,5,1,4,2,0,0,2,3
2013,2292.4028,2,1,2,1,3,1,3,0,3,2,3,2,2,0,1,4,2,0,0,2,2
2013,1689.41261,1,1,2,1,7,1,1,2,4,1,3,1,2,0,1,4,2,0,0,2,1
2013,1689.41261,1,1,2,1,7,1,1,2,4,1,4,2,1,3,1,3,1,1,2,2,3
2013,1689.41261,1,1,2,1,7,1,1,2,4,1,4,2,2,0,1,4,2,0,0,2,3
2013,1689.41261,1,1,2,1,7,1,1,2,4,1,6,2,2,0,1,4,2,0,0,2,3
2013,34217.9611,2,1,2,1,6,1,88,0,1,2,1,1,2,0,1,4,2,1,1,1,1
2013,2844.08486,1,1,2,1,7,4,2,1,2,2,4,1,3,5,1,2,1,1,2,2,1
2013,3032.53745,2,1,2,1,7,4,3,0,1,2,5,2,2,0,1,4,2,0,0,2,3
2013,3491.97246,2,1,1,4,6,5,4,1,1,2,1,1,2,0,1,3,1,1,1,2,3
2013,2804.8535,2,1,2,1,8,4,88,1,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,4704.91284,2,2,2,2,1,1,88,3,2,1,3,2,1,2,1,3,1,0,0,2,4
2013,1661.71818,1,1,2,1,7,4,3,0,3,3,3,2,1,2,1,3,1,0,0,2,1
2013,2573.397,1,1,2,1,1,1,3,1,1,1,3,1,2,0,1,4,2,0,0,2,1
2013,5263.16913,2,1,2,1,2,1,3,2,2,1,3,1,2,0,1,1,1,1,1,1,2
2013,3815.47851,1,2,2,2,5,1,1,5,3,1,5,2,2,0,2,5,3,0,0,2,5
2013,3112.96055,1,1,2,1,6,2,7,0,1,2,4,1,1,2,1,3,1,0,0,2,1
2013,5165.72883,2,2,2,2,2,1,2,1,1,2,3,1,1,3,1,3,1,0,0,2,4
2013,2899.53076,2,1,2,1,6,1,2,1,1,2,2,2,2,0,1,4,2,1,2,2,2
2013,2622.71666,2,1,2,1,5,2,5,0,3,2,4,2,1,1,1,3,1,0,0,2,1
2013,3286.07463,2,1,2,1,5,1,3,0,3,3,1,1,2,0,1,4,2,0,0,1,1
2013,32251.81446,1,1,2,1,4,1,3,1,1,2,3,1,2,0,1,2,1,0,0,2,3
2013,5375.30241,1,1,2,1,4,1,3,1,1,2,3,2,2,0,1,4,2,0,0,2,5
2013,4310.36393,1,2,2,2,6,4,1,5,3,1,4,2,3,5,1,4,2,1,2,2,3
2013,4118.92602,1,1,1,4,6,2,5,1,2,3,3,1,3,5,1,4,2,1,2,2,3
2013,3514.90259,1,1,2,1,5,1,88,4,3,1,4,2,3,5,1,4,2,1,2,2,2
2013,4273.27086,2,3,2,3,6,2,4,1,2,2,2,1,1,3,1,3,1,1,1,2,1
2013,3584.29611,2,2,2,2,6,1,2,1,3,2,2,1,2,0,1,4,2,0,0,2,1
